86 98 100 ==> 92 #SUP: 61496 #CONF: 0.912390023886886
86 92 98 ==> 100 #SUP: 61496 #CONF: 0.9424096607104545
98 100 ==> 86 92 #SUP: 61496 #CONF: 0.5275275790485013
92 98 ==> 86 100 #SUP: 61496 #CONF: 0.5432460843985477
86 98 ==> 92 100 #SUP: 61496 #CONF: 0.8555608113748295
92 98 102 ==> 86 #SUP: 65251 #CONF: 0.5764426304816425
86 98 102 ==> 92 #SUP: 65251 #CONF: 0.90784
86 92 98 ==> 102 #SUP: 65251 #CONF: 0.9999540258068471
98 102 ==> 86 92 #SUP: 65251 #CONF: 0.5187997423930414
92 98 ==> 86 102 #SUP: 65251 #CONF: 0.5764171694596337
86 98 ==> 92 102 #SUP: 65251 #CONF: 0.9078021091293581
98 ==> 86 92 102 #SUP: 65251 #CONF: 0.5187749942359218
92 100 102 ==> 86 #SUP: 153162 #CONF: 0.6657943697727391
86 100 102 ==> 92 #SUP: 153162 #CONF: 0.8671592356687898
86 92 102 ==> 100 #SUP: 153162 #CONF: 0.8851452876857995
86 92 100 ==> 102 #SUP: 153162 #CONF: 0.999986942101277
100 102 ==> 86 92 #SUP: 153162 #CONF: 0.5781661696425201
92 102 ==> 86 100 #SUP: 153162 #CONF: 0.5836076817558299
92 100 ==> 86 102 #SUP: 153162 #CONF: 0.6657856872726008
86 102 ==> 92 100 #SUP: 153162 #CONF: 0.7616892610974627
86 100 ==> 92 102 #SUP: 153162 #CONF: 0.867149416567116
86 92 ==> 100 102 #SUP: 153162 #CONF: 0.8851299418050266
100 ==> 86 92 102 #SUP: 153162 #CONF: 0.5781574397729075
92 ==> 86 100 102 #SUP: 153162 #CONF: 0.5835965630894092
86 ==> 92 100 102 #SUP: 153162 #CONF: 0.7616741095849537
92 102 92020 ==> 86 #SUP: 62996 #CONF: 0.7313635572067104
86 102 92020 ==> 92 #SUP: 62996 #CONF: 0.8613777449613039
86 92 92020 ==> 102 #SUP: 62996 #CONF: 0.999952380196511
102 92020 ==> 86 92 #SUP: 62996 #CONF: 0.631697167209827
92 92020 ==> 86 102 #SUP: 62996 #CONF: 0.73133808539785
86 92020 ==> 92 102 #SUP: 62996 #CONF: 0.8613306352374962
92020 ==> 86 92 102 #SUP: 62996 #CONF: 0.6316718306610916
97 100 102 ==> 86 #SUP: 109226 #CONF: 0.7363269268365029
86 100 102 ==> 97 #SUP: 109226 #CONF: 0.6184062278839348
86 97 102 ==> 100 #SUP: 109226 #CONF: 0.8453566757219036
86 97 100 ==> 102 #SUP: 109226 #CONF: 1.0
97 102 ==> 86 100 #SUP: 109226 #CONF: 0.6110818945743026
97 100 ==> 86 102 #SUP: 109226 #CONF: 0.7363219630578401
86 102 ==> 97 100 #SUP: 109226 #CONF: 0.5431913348783084
86 100 ==> 97 102 #SUP: 109226 #CONF: 0.6183992254864772
86 97 ==> 100 102 #SUP: 109226 #CONF: 0.8453501331186923
97 ==> 86 100 102 #SUP: 109226 #CONF: 0.6110750570648525
86 ==> 97 100 102 #SUP: 109226 #CONF: 0.5431805297236009
98 100 102 ==> 86 #SUP: 67399 #CONF: 0.5781798217395407
86 98 102 ==> 100 #SUP: 67399 #CONF: 0.9377252173913043
86 98 100 ==> 102 #SUP: 67399 #CONF: 0.99997032684975
98 102 ==> 86 100 #SUP: 67399 #CONF: 0.5358781296462675
98 100 ==> 86 102 #SUP: 67399 #CONF: 0.5781649424399952
86 98 ==> 100 102 #SUP: 67399 #CONF: 0.9376860791897381
98 ==> 86 100 102 #SUP: 67399 #CONF: 0.5358525668036794
100 102 92020 ==> 86 #SUP: 65233 #CONF: 0.73833076783774
86 102 92020 ==> 100 #SUP: 65233 #CONF: 0.8919654333141904
86 100 92020 ==> 102 #SUP: 65233 #CONF: 0.9999693416110983
102 92020 ==> 86 100 #SUP: 65233 #CONF: 0.654128854349461
100 92020 ==> 86 102 #SUP: 65233 #CONF: 0.7383140548249089
86 92020 ==> 100 102 #SUP: 65233 #CONF: 0.8919166507150865
92020 ==> 86 100 102 #SUP: 65233 #CONF: 0.6541026180950376
97 100 102 ==> 92 #SUP: 124582 #CONF: 0.8398465676592131
92 100 102 ==> 97 #SUP: 124582 #CONF: 0.541557267305385
92 97 102 ==> 100 #SUP: 124582 #CONF: 0.8347538259494519
92 97 100 ==> 102 #SUP: 124582 #CONF: 1.0
97 102 ==> 92 100 #SUP: 124582 #CONF: 0.6969934318738741
97 100 ==> 92 102 #SUP: 124582 #CONF: 0.8398409060266955
92 100 ==> 97 102 #SUP: 124582 #CONF: 0.5415502049581172
92 97 ==> 100 102 #SUP: 124582 #CONF: 0.8347538259494519
97 ==> 92 100 102 #SUP: 124582 #CONF: 0.6969856330841875
98 100 102 ==> 92 #SUP: 105462 #CONF: 0.9047018555215276
92 98 102 ==> 100 #SUP: 105462 #CONF: 0.9316760309551574
92 98 100 ==> 102 #SUP: 105462 #CONF: 0.9999715545441615
98 102 ==> 92 100 #SUP: 105462 #CONF: 0.8385106501395371
98 100 ==> 92 102 #SUP: 105462 #CONF: 0.9046785732667662
92 98 ==> 100 102 #SUP: 105462 #CONF: 0.931634879550534
98 ==> 92 100 102 #SUP: 105462 #CONF: 0.838470650903569
100 102 92020 ==> 92 #SUP: 76803 #CONF: 0.8692842267294458
92 102 92020 ==> 100 #SUP: 76803 #CONF: 0.89165844314158
92 100 92020 ==> 102 #SUP: 76803 #CONF: 0.9999739600286439
102 92020 ==> 92 100 #SUP: 76803 #CONF: 0.7701479067435447
100 92020 ==> 92 102 #SUP: 76803 #CONF: 0.869264549426172
92 92020 ==> 100 102 #SUP: 76803 #CONF: 0.8916273886089763
92020 ==> 92 100 102 #SUP: 76803 #CONF: 0.7701170171163854
100 102 92021 ==> 92 #SUP: 77676 #CONF: 0.8476858773585935
92 102 92021 ==> 100 #SUP: 77676 #CONF: 0.844965625271952
92 100 92021 ==> 102 #SUP: 77676 #CONF: 0.9999871261763457
102 92021 ==> 92 100 #SUP: 77676 #CONF: 0.7123820354558544
100 92021 ==> 92 102 #SUP: 77676 #CONF: 0.8476673760026191
92 92021 ==> 100 102 #SUP: 77676 #CONF: 0.8449472424670945
92021 ==> 92 100 102 #SUP: 77676 #CONF: 0.7123624358033749
92 97 100 102 ==> 86 #SUP: 91668 #CONF: 0.7358045303494887
86 97 100 102 ==> 92 #SUP: 91668 #CONF: 0.8392507278486807
86 92 100 102 ==> 97 #SUP: 91668 #CONF: 0.598503545265797
86 92 97 102 ==> 100 #SUP: 91668 #CONF: 0.8504708447372084
86 92 97 100 ==> 102 #SUP: 91668 #CONF: 1.0
97 100 102 ==> 86 92 #SUP: 91668 #CONF: 0.6179629092821173
92 97 102 ==> 86 100 #SUP: 91668 #CONF: 0.6142156468601753
92 97 100 ==> 86 102 #SUP: 91668 #CONF: 0.7358045303494887
86 100 102 ==> 92 97 #SUP: 91668 #CONF: 0.5189978768577495
86 97 102 ==> 92 100 #SUP: 91668 #CONF: 0.7094662053913487
86 97 100 ==> 92 102 #SUP: 91668 #CONF: 0.8392507278486807
86 92 102 ==> 97 100 #SUP: 91668 #CONF: 0.5297625927552648
